"ttc","IRfile"
2.97738585325429,"AFIR70FL.DTA"
5.84010416848705,"ALIR71FL.DTA"
6,"AOIR71FL.DTA"
4.53348153050612,"AMIR71FL.DTA"
3.55777401761801,"AZIR52FL.DTA"
6.07486818484143,"BDIR7RFL.DTA"
7.50214521425198,"BJIR71FL.DTA"
6,"BOIR51FL.DTA"
4.50992961775814,"BRIR31FL.DTA"
6.29475691035777,"BFIR62FL.DTA"
6.7603761830873,"BUIR70FL.DTA"
5.05957216442478,"KHIR73FL.DTA"
6,"CMIR71FL.DTA"
6,"CFIR31FL.DTA"
6,"TDIR71FL.DTA"
6.16213240022741,"COIR71FL.DTA"
5.00552505722026,"KMIR61FL.DTA"
6,"CGIR60FL.DTA"
6,"CDIR61FL.DTA"
6,"CIIR62FL.DTA"
6,"DRIR61FL.DTA"
4.63538216337046,"EGIR61FL.DTA"
7.00120511806211,"ETIR70FL.DTA"
6,"GAIR60FL.DTA"
8.45899396648875,"GMIR81FL.DTA"
5.40865946953846,"GHIR72FL.DTA"
5.08629073932502,"GUIR71FL.DTA"
6,"GNIR71FL.DTA"
6,"GYIR5IFL.DTA"
6,"HTIR70FL.DTA"
5.46532496359451,"HNIR62FL.DTA"
7.85667880460769,"IDIR71FL.DTA"
5.26445113072067,"JOIR72FL.DTA"
3.6465233935026,"KKIR42FL.DTA"
5.31508367012481,"KEIR72FL.DTA"
4.62125252411317,"KYIR61FL.DTA"
4.28581869070722,"LSIR71FL.DTA"
6,"LBIR7AFL.DTA"
6,"MDIR51FL.DTA"
9.20138012736587,"MWIR7AFL.DTA"
9.21558318386354,"MVIR71FL.DTA"
8.97396695095898,"MLIR7HFL.DTA"
4.50680418057284,"MBIR53FL.DTA"
4.65477168619701,"MAIR43FL.DTA"
6,"MZIR71FL.DTA"
8.07673222009117,"MMIR71FL.DTA"
6.51424943439697,"NMIR61FL.DTA"
4.47633205868396,"NPIR7HFL.DTA"
6,"NCIR41FL.DTA"
6,"NIIR61FL.DTA"
6.57810463938193,"NGIR7AFL.DTA"
3.63523918647015,"PKIR71FL.DTA"
4.73890582590699,"PYIR21FL.DTA"
4.70818731570841,"PGIR70FL.DTA"
5.0063348033313,"PEIR6IFL.DTA"
6,"PHIR70FL.DTA"
5.09450514015003,"RWIR81FL.DTA"
6,"STIR50FL.DTA"
6.36574365360057,"SNIR8AFL.DTA"
6,"SLIR7AFL.DTA"
6,"ZAIR71FL.DTA"
6,"szir51fl.DTA"
7.26525890047078,"TJIR71FL.DTA"
5.08343384778959,"TZIR7BFL.DTA"
6,"TLIR71FL.DTA"
6,"TGIR61FL.DTA"
4.55753941397901,"TRIR61FL.DTA"
6.29532496720747,"UGIR7BFL.DTA"
6.83455112177649,"UAIR51FL.DTA"
6,"UZIR31FL.DTA"
3.86499642304183,"VNIR41FL.DTA"
4.53322986665981,"YEIR61FL.DTA"
6.2977655370356,"ZMIR71FL.DTA"
4.10890926685989,"ZWIR71FL.DTA"
5.6,"IAIR73FL.DTA"
