"Survey","CountryYear","Country","CountryFR","Region","Source","age_fsex","age_fbirth","ave_bi","ideal","ppi","ttc","ppfp","s_neversex","s_sex_fbirth","s_birth1","s_birth2","s_birth3","s_birth4","s_birth5","s_birth6","s_birth7","s_birth8","s_birth9","s_infecund","CPR_all","Spacing_all","Limiting_all","CPR_mar","Spacing_mar","Limiting_mar","Notes","NotesFR","pop"
"AF2015DHS","Afghanistan 2015","Afghanistan","Afghanistan","Asia","2015",18.7,18.5,28.4,5.6,4.4,2.97738585325429,15.1123458284133,30.0195955658736,4.98807273705989,7.10288808664379,7.85108289919976,7.47628327560401,7.04709474725119,5.92330836522152,5.22066301841892,3.95736576883723,3.03018864855576,4.08675508899728,13.296701798337,15.2775,7.6727,7.5369,22.5,11.3,11.1,,,7717838
"AL2017DHS","Albania 2017-18","Albania","Albanie","Europe","2017-18",20.9,22,50.7,2.4,3.9,5.84010416848705,27.2878136387819,23.6608534829177,10.4605722142232,11.5244615943486,21.8515456381086,9.48427580086642,2.21964834657367,0.340415649461103,0.0899438044347413,0.0215113464955377,0.00252414527414486,0,20.3442479772962,33.2,10.9,22.3,46,13.2,32.8,,,682826
"AO2015DHS","Angola 2015-16","Angola","Angola","Africa","2015-16",16.6,20.5,30.8,4.9,13.8,6,7.07262735290685,10.2437054893433,13.1100410626942,13.7361269204808,11.9718875384085,10.0815818256025,8.11181766778301,6.38789675641678,5.16451531784907,3.13714885902685,2.07383391057835,2.78582567136908,13.1956189804476,13.3,10,3.3,13.7,8.8,4.8,,,6349429
"AM2016DHS","Armenia 2015-16","Armenia","Armenie","Asia","2015-16",21.2,21.4,41.5,2.6,3.3,4.53348153050612,32.1926630853074,29.7281268909147,3.71388127380048,11.9209558578316,27.71341700892,11.2025842565155,2.02958303442807,0.393669883498974,0.0889437870650641,0.0055091890295413,0,0.0118407129210225,13.1914881050749,36.7,12.1,24.6,57.1,18.8,38.4,,,769700
"AZ2006DHS","Azerbaijan 2006","Azerbaijan","Azerbaidjan","Asia","2006",22,21.9,29.9,2.5,3.5,3.55777401761801,38.7568987512388,30.7131098034185,5.51563578767461,9.86778000324542,22.2613438362583,14.6408939223247,5.24326621345063,2.04428370269068,0.555452459603821,0.351773789708748,0.0958457596675317,0.0763516693183688,8.63426305263871,32,4.7,27.2,51.1,7.6,43.6,,,2577730
"BD2017DHS","Bangladesh 2017-18","Bangladesh","Bangladesh","Asia","2017-18",16.2,16,55.7,2.3,5.1,6.07486818484143,17.2779331499608,15.0297832253624,7.4968532364103,17.2250535343398,22.2884060363147,14.9650710770482,7.57154847343239,3.66618891376312,1.56472458932601,0.747465070642633,0.210205118276921,0.138182791753325,9.09651793333021,49.7057,13.8919,35.7335,61.9,17.3,44.5,,,44655387
"BJ2017DHS","Benin 2017-18","Benin","Benin","Africa","2017-18",17.3,19.4,34.1,5.1,12.2,7.50214521425198,9.08396627461261,12.3210459152684,12.922508076054,12.011736567048,11.1193855502513,10.2945404475469,9.14300839743125,6.87443386901229,5.16654942705721,3.81733203672233,2.30978513865213,2.13672709626547,11.8829474786907,14.4,10.1,4.3,15.5,10,5.6,,,2635019
"BO2008DHS","Bolivia 2008","Bolivia","Bolivie","Latin America and the Caribbean","2008",18.6,20.9,35.1,2.4,10,6,21.994029096986,20.177014808963,10.0958118409623,14.1603860335354,14.3005005439146,10.5747572669204,7.13969254131525,4.9307195226575,3.71136481905044,2.24863432083267,1.64631672459581,2.20155144716358,8.81325013008906,41.4,13.8,27.6,60.6,17.3,43.3,,,2378504
"BR1996DHS","Brazil 1996","Brazil","Bresil","Latin America and the Caribbean","1996",19.5,21.1,35.6,2.3,4.3,4.50992961775814,46.0600221901421,20.4693568584277,11.6444354096242,14.8517281457617,18.0083831685451,13.5971550510342,6.69669499137645,3.2609874136026,2.07100413709929,1.26594731680697,0.864054296395035,1.42646446539927,5.84378874592744,55.4,12.6,42.7,76.7,14,62.8,,,44420501
"BF2010DHS","Burkina Faso 2010","Burkina Faso","Burkina Faso","Africa","2010",17.7,17.8,35.9,5.5,15,6.29475691035777,4.35302584758076,12.4208900512077,9.14487034930308,11.0625668137599,10.9555894658364,10.0373083879753,9.03998655793495,7.14296758563585,6.38043606381221,4.79115264055503,3.10822365409258,3.21909180213301,12.696916627754,15.3,10.9,4.4,16.2,10.9,5.3,,,3579388
"BU2016DHS","Burundi 2016-17","Burundi","Burundi","Africa","2016-17",19.6,20.3,33.8,3.9,17.8,6.7603761830873,19.6062181525623,28.980789512278,4.70384192593631,9.65028626773937,9.86480668037232,9.62334002804486,7.96991036129283,7.2343145385672,5.49482301285238,4.14227608096254,2.59974464541514,2.64222671854872,7.09364022799031,17.9,9.2,8.6,28.5,14.4,14.1,,,2453145
"KH2014DHS","Cambodia 2014","Cambodia","Cambodge","Asia","2014",20.7,20.5,43.8,3.1,7.8,5.05957216442478,28.6127016767906,24.8652870009059,6.27282187613058,14.90402878996,17.4039986277326,11.5308468504931,7.19456206685894,3.63738754799367,2.03478583814943,1.04676030618583,0.486517549342736,0.364124645158404,10.2588789010888,38.5,15.1,23.5,56.3,22,34.3,,,4198027
"CM2018DHS","Cameroon 2018","Cameroon","Cameroun","Africa","2018",17,20,31.2,5.4,10.9,6,15.7174558067256,14.4016567795846,12.8165426045393,12.7610613268837,10.4978185391444,9.35104101300524,7.78313765786654,6.37358945941378,4.67924819273389,3.54998996916589,2.39916313452454,4.18834201248531,11.1984093106528,19.5,14,5.5,19.3,12.2,7.1,,,6082962
"CF1994DHS","Central African Republic 1994-95","Central African Republic","Centrafricaine, Republique","Africa","1994-95",15.9,17.3,30.6,6.4,16.4,6,23.2889239744374,9.10619042575726,12.0622467455261,12.7124024964033,10.5426823099087,8.50836524779295,6.82509871204033,5.87246588374232,4.3456647959765,3.7172291858945,2.20357376446003,3.44423387999838,20.6598465524996,14.1,11.5,2.6,14.8,11.9,2.9,,,718010
"TD2014DHS","Chad 2014-15","Chad","Tchad","Africa","2014-15",16.2,16.1,29.3,8.2,14.6,6,4.65912311259867,13.2743585611165,6.01783658659349,9.44682680222456,8.82352252991665,9.18767660361824,8.16098943210474,7.24783974154231,6.5644329829902,5.15786027289198,4.9752532299408,6.10881284154134,15.0345904155192,5.4,4,1.4,5.7,4.1,1.6,,,2988649
"CO2015DHS","Colombia 2015","Colombia","Colombie","Latin America and the Caribbean","2015",17.7,21.4,50.7,2.2,5.9,6.16213240022741,66.1644615146274,15.9123320949906,18.9704004004828,20.1520344825148,21.3929623117461,11.7857360357115,4.5276048136354,2.10311961870842,0.951410856981694,0.411821760774637,0.224274831786852,0.299225422693664,3.26907736997347,64.9,21,43.9,81,20.7,60.3,,,12952328
"KM2012DHS","Comoros 2012","Comoros","Comores","Africa","2012",21,20.7,31,5.3,4.3,5.00552505722026,15.8882259069175,31.1690144894558,11.2013619025295,8.65247182250446,7.47453715268135,7.05823682336034,6.00000283205111,4.32263407216883,3.43051517223269,2.7269163745455,1.74315260463429,2.02315861644904,14.1979981373871,13.7,10.5,3.2,19.4,14.5,4.9,,,176377
"CG2011DHS","Congo 2011-12","Congo","Republique du Congo","Africa","2011-12",16.2,19.7,38.8,5,9.9,6,23.195395176322,7.79060250041395,14.9112591382462,16.3071007847458,14.7905059450023,12.1603064395003,8.90108549134665,6.10323495554474,3.76212653928455,2.17847453171356,1.2702576925654,1.11627202872639,10.70877395291,44.3,37.5,6.9,44.7,35,9.8,,,1082041
"CD2013DHS","Congo Democratic Republic 2013-14","Congo Democratic Republic","Congo, La Republique Democratique du","Africa","2013-14",16.8,18.7,30.4,6.1,12.4,6,12.1994781207676,12.2737490487938,12.7255995055131,12.4842472651096,11.0770561380537,9.0582945574895,8.5001149327814,6.55172026380563,5.43009585230585,4.63512508396974,2.92319173867865,4.11280385608699,10.228001757412,19.3,14.3,5,20.4,13.7,6.7,,,15801738
"CI2012DHS","Cote d'Ivoire 2011-12 ","Cote d'Ivoire","Cote d'Ivoire","Africa","2011-12",17,19.7,36.8,5.2,12.4,6,7.28324234251546,7.97067139973413,17.4629750050006,14.7528707169895,12.7309311863112,9.57643238797206,7.7087854135775,6.36698054044685,4.67397994221422,2.63280662155189,2.12779139571453,2.57086510575275,11.4249102847348,19.7,16.5,3.2,18.2,13.7,4.5,,,4858181
"DR2013DHS","Dominican Republic 2013","Dominican Republic","Dominicaine, Republique","Latin America and the Caribbean","2013",18.2,19.2,44.6,2.8,3.3,6,44.0747194358941,14.5689019536723,13.8917787229705,17.3764094718287,16.7294128415838,17.6972665310535,7.93942477525307,3.67213348683342,1.72138896626936,0.776197710150078,0.607932944378701,0.231024048450765,4.7881285475558,55.1,17.2,37.9,71.9,19.6,52.2,,,2650227
