Survey,CountryYear,Country,Region,Source,age_fsex,age_fbirth,ave_bi,ideal,ppi,ttc,ppfp,s_neversex,s_sex_fbirth,s_birth1,s_birth2,s_birth3,s_birth4,s_birth5,s_birth6,s_birth7,s_birth8,s_birth9,s_infecund,CPR_all,Spacing_all,Limiting_all,CPR_mar,Spacing_mar,Limiting_mar,Notes,pop
AFIR70FL,Afghanistan 2015,Afghanistan,Asia,2015,18.7,20.1,28.4,5.6,4.4,3,15.1,30.02,4.989574,7.10297,7.851756,7.473864,7.046986,5.920308,5.220508,3.95387,3.030134,4.086832,13.2962,15.3,7.7,7.5,22.5,11.3,11.1,": Assuming non-married women are not sexually active; age at first sex is age at first marriage; use Household roster to calculate percentnot sexually active (never married) then women recode to distribute the ever married population; all women CPR not avaliable in DHS, assumes no unmarried use, multipled married CPR by % married to calculate all women CPR",7586627
ALIR71FL,Albania 2017-18,Albania,Asia,2017-18,20.9,23.8,50.7,2.4,3.9,5.8,27.3,23.660853,10.460572,11.524462,21.851546,9.4842758,2.2196483,0.34041565,0.08994381,0.02151135,0.00252415,0,20.344248,33.2,10.9,22.3,46,13.2,32.8,,708912
AOIR71FL,Angola 2015-16,Angola,Africa,2015-16,16.6,19.5,30.8,4.9,13.8,6,7.1,10.243705,13.110041,13.736127,11.971888,10.081582,8.1118177,6.3878968,5.1645153,3.1371489,2.0738339,2.7858257,13.195619,13.3,10,3.3,13.7,8.8,4.8,": Calendar analysis gives unrealistic results on time to conceive, assume 6 months - the average of countries with data",6348298
AMIR71FL,Armenia 2015-16,Armenia,Asia,2015-16,21.2,22.8,41.5,2.6,3.3,4.5,32.2,29.728127,3.7138813,11.920956,27.713417,11.202584,2.029583,0.39366988,0.08894379,0.00550919,0,0.01184071,13.191488,36.7,12.1,24.6,57.1,18.8,38.4,,769700
BDIR72FL,Bangladesh 2014,Bangladesh,Asia,2014,15.9,18.2,51.7,2.2,4,5.4,22.7,20.64032,6.9138092,14.850978,20.365667,13.748268,7.9342686,4.220824,2.2488973,1.0308909,0.35020157,0.29083187,7.4050439,44.2,12.5,31.6,62.4,17.7,44.7,": Using Nepal's distribution of population; all women CPR not avaliable in DHS, assumes no unmarried use, multipled married CPR by % married to calculate all women CPR",44411303
BJIR71FL,Benin 2017-18,Benin,Africa,2017-18,17.3,20.5,34.1,5.1,12.2,7.5,9.1,12.321046,12.922508,12.011737,11.119386,10.29454,9.1430084,6.8744339,5.1665494,3.817332,2.3097851,2.1367271,11.882947,14.4,10.1,4.3,15.5,10,5.6,,2635015
BOIR51FL,Bolivia 2008,Bolivia,Latin America,2008,18.6,21.1,35.1,2.4,10,6,22,20.177015,10.30017,14.589444,14.664434,10.903945,7.4278896,5.1424804,3.8543812,2.3541119,1.7714442,2.2653451,6.5493398,41.3,13.8,27.6,60.5,17.3,43.3,": Used DHS Unmet algorithm to calculate percent infecund; no calendar data to calculate time to conception, assuming 6 months- the average of countries with data",2385682
BFIR62FL,Burkina Faso 2010,Burkina Faso,Africa,2010,17.7,19.5,35.9,5.5,15,6.3,4.4,12.42089,9.1448703,11.062567,10.955589,10.037308,9.0399866,7.1429676,6.3804361,4.7911526,3.1082237,3.2190918,12.696917,15.3,10.9,4.4,16.2,10.9,5.3,,3579388
BUIR70FL,Burundi 2016-17,Burundi,Africa,2016-17,19.6,21.5,33.8,3.9,17.8,6.8,19.6,28.98079,4.7038419,9.6502863,9.8648067,9.62334,7.9699104,7.2343145,5.494823,4.1422761,2.5997446,2.6422267,7.0936402,17.9,9.2,8.6,28.5,14.4,14.1,,2476654
KHIR73FL,Cambodia 2014,Cambodia,Asia,2014,20.7,22.4,43.8,3.1,7.8,5.1,28.6,24.864038,6.2775302,14.90328,17.403124,11.530268,7.1942007,3.6372048,2.0346836,1.0467077,0.48649311,0.36410636,10.258364,38.5,15.1,23.5,56.3,22,34.3,,4197010
CMIR61FL,Cameroon 2011,Cameroon,Africa,2011,17,19.5,32.7,5.5,12.2,6,7.4,13.399553,14.432381,13.281748,11.018976,8.9953186,7.4710691,6.0391632,4.6371421,3.4015887,2.2667885,2.9163415,12.13993,23.7,17.4,6.3,23.4,14.9,8.5,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",4829207
TDIR71FL,Chad 2014-15,Chad,Africa,2014-15,16.2,18.2,29.3,8.2,14.6,6,4.7,13.267181,6.0686555,9.4417186,8.8187514,9.1827086,8.1565765,7.2439206,6.5608834,5.1550713,4.972563,6.1055096,15.026461,5.4,4,1.4,5.7,4.1,1.6,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",2975181
COIR71FL,Colombia 2015,Colombia,Latin America,2015,17.7,21.7,50.7,2.2,5.9,6.2,66.2,15.912332,18.9704,20.152034,21.392962,11.785736,4.5276048,2.1031196,0.95141086,0.41182176,0.22427483,0.29922542,3.2690774,64.9,21,43.9,81,20.7,60.3,,13203530
KMIR61FL,Comoros 2012,Comoros,Africa,2012,21,23,31,5.3,4.3,5,15.9,31.169014,11.201362,8.6524718,7.4745371,7.0582368,6.0000028,4.3226341,3.4305152,2.7269164,1.7431526,2.0231586,14.197998,13.7,10.5,3.2,19.4,14.5,4.9,,176377
CGIR60FL,Congo 2011-12,Congo,Africa,2011-12,16.2,19.6,38.8,5,9.9,6,23.2,7.7906025,14.911259,16.307101,14.790506,12.160306,8.9010855,6.103235,3.7621265,2.1784745,1.2702577,1.116272,10.708774,44.3,37.5,6.9,44.7,35,9.8,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",1080815
CDIR61FL,Congo Democratic Republic 2013-14,Democratic Republic of Congo,Africa,2013-14,16.8,19.9,30.4,6.1,12.4,6,12.2,12.262048,12.808805,12.472345,11.066495,9.0496586,8.4920111,6.545474,5.4249189,4.6307061,2.9204048,4.1088828,10.218251,19.3,14.3,5,20.4,13.7,6.7,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",15792129
CIIR62FL,Cote d'Ivoire 2011-12,Cote d'Ivoire,Africa,2011-12,17,19.6,36.8,5.2,12.4,6,7.3,7.9669217,17.501803,14.74593,12.724942,9.5719273,7.7051589,6.3639853,4.6717811,2.6315681,2.1267904,2.5696557,11.419536,19.7,16.5,3.2,18.2,13.7,4.5,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",4763986
DRIR61FL,Dominican Republic 2013,Dominican Republic,Latin America,2013,18.2,20.9,44.6,2.8,3.3,6,44.1,14.565429,13.912303,17.372268,16.725425,17.693048,7.9375323,3.6712582,1.7209787,0.7760127,0.60778804,0.23096898,4.7869873,55.1,17.2,37.9,71.9,19.6,52.2,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",2685018
